,Date,Open,High,Low,Close,(High-Low),(Open-Close)
205,2022-01-03,14247.65,14280.00,14148.05,14156.40,131.95,91.25
206,2021-12-31,14164.60,14254.10,14133.40,14223.00,120.70,-58.40
207,2021-12-30,14075.40,14174.20,14036.60,14135.50,137.60,-60.10
208,2021-12-29,13881.80,14112.45,13857.75,14072.90,254.70,-191.10
209,2021-12-28,13739.00,13857.50,13705.30,13836.15,152.20,-97.15
210,2021-12-27,13491.40,13723.80,13472.10,13710.15,251.70,-218.75
211,2021-12-24,13676.80,13677.80,13467.55,13491.25,210.25,185.55
212,2021-12-23,13618.15,13668.35,13588.90,13644.50,79.45,-26.35
213,2021-12-22,13339.45,13564.60,13269.95,13547.70,294.65,-208.25
214,2021-12-21,13217.90,13335.90,13181.60,13282.85,154.30,-64.95
215,2021-12-20,13177.15,13259.05,13005.20,13184.45,253.85,-7.30
216,2021-12-17,13410.50,13420.75,13152.95,13230.70,267.80,179.80
217,2021-12-16,13603.20,13604.50,13316.55,13393.65,287.95,209.55
218,2021-12-15,13569.00,13576.30,13406.40,13512.05,169.90,56.95
219,2021-12-14,13419.25,13601.40,13402.30,13575.90,199.10,-156.65
220,2021-12-13,13537.60,13552.30,13398.75,13432.90,153.55,104.70
221,2021-12-10,13428.10,13527.20,13427.65,13446.10,99.55,-18.00
222,2021-12-09,13482.20,13504.90,13400.80,13449.40,104.10,32.80
223,2021-12-08,13300.20,13456.95,13280.20,13433.85,176.75,-133.65
224,2021-12-07,13238.60,13280.85,13132.55,13234.35,148.30,4.25
225,2021-12-06,13463.55,13467.80,13168.50,13192.25,299.30,271.30
226,2021-12-03,13608.00,13610.25,13426.45,13443.85,183.80,164.15
227,2021-12-02,13510.85,13585.30,13472.35,13557.00,112.95,-46.15
228,2021-12-01,13721.25,13782.65,13380.50,13442.10,402.15,279.15
229,2021-11-30,13656.80,13777.70,13600.95,13662.80,176.75,-6.00
230,2021-11-29,13910.95,13998.15,13622.50,13648.80,375.65,262.15
231,2021-11-26,13487.30,13990.40,13455.25,13797.10,535.15,-309.80
232,2021-11-25,13414.40,13583.45,13385.35,13566.50,198.10,-152.10
233,2021-11-24,13518.40,13557.80,13379.90,13408.10,177.90,110.30
234,2021-11-23,13206.00,13534.35,13152.55,13489.95,381.80,-283.95
235,2021-11-22,13513.35,13544.25,13176.30,13245.35,367.95,268.00
236,2021-11-18,13603.65,13620.40,13388.65,13481.40,231.75,122.25
237,2021-11-17,13796.30,13800.60,13592.45,13621.90,208.15,174.40
238,2021-11-16,14008.35,14016.95,13776.05,13798.80,240.90,209.55
239,2021-11-15,13790.45,13996.85,13770.90,13974.35,225.95,-183.90
240,2021-11-12,13806.60,13807.50,13685.15,13774.65,122.35,31.95
241,2021-11-11,13896.20,13901.35,13685.70,13717.80,215.65,178.40
242,2021-11-10,13849.70,13957.65,13823.90,13911.30,133.75,-61.60
243,2021-11-09,13920.10,14061.25,13851.20,13878.70,210.05,41.40
244,2021-11-08,13912.20,13915.45,13639.55,13851.25,275.90,60.95
245,2021-11-04,13969.15,13969.15,13931.70,13948.20,37.45,20.95
246,2021-11-03,14022.85,14053.85,13818.30,13888.30,235.55,134.55
247,2021-11-02,14060.80,14098.45,13878.30,13993.20,220.15,67.60
248,2021-11-01,13952.10,14072.55,13830.15,14049.45,242.40,-97.35
249,2021-10-29,13735.50,14092.80,13587.25,13879.35,505.55,-143.85
250,2021-10-28,14092.60,14129.10,13736.75,13780.60,392.35,312.00
251,2021-10-27,14002.25,14202.15,13993.85,14094.25,208.30,-92.00
252,2021-10-26,14004.25,14036.60,13882.10,13970.65,154.50,33.60
253,2021-10-25,13945.10,13983.25,13637.55,13943.85,345.70,1.25
254,2021-10-22,14207.65,14215.05,13891.85,13949.65,323.20,258.00
255,2021-10-21,14300.90,14306.15,13990.90,14169.95,315.25,130.95
256,2021-10-20,14360.40,14424.15,14127.60,14177.35,296.55,183.05
257,2021-10-19,14626.30,14682.95,14357.15,14384.35,325.80,241.95
258,2021-10-18,14771.25,14795.90,14570.85,14598.20,225.05,173.05
259,2021-10-14,14711.00,14802.40,14698.75,14728.65,103.65,-17.65
260,2021-10-13,14680.40,14725.25,14626.85,14679.40,98.40,1.00
261,2021-10-12,14650.55,14726.10,14521.00,14629.20,205.10,21.35
262,2021-10-11,14588.50,14651.25,14502.80,14615.35,148.45,-26.85
263,2021-10-08,14624.10,14656.50,14468.90,14514.80,187.60,109.30
264,2021-10-07,14564.45,14591.35,14489.90,14562.20,101.45,2.25
265,2021-10-06,14750.05,14775.30,14435.75,14461.95,339.55,288.10
266,2021-10-05,14816.90,14849.85,14619.65,14738.25,230.20,78.65
267,2021-10-04,14649.10,14938.25,14643.95,14812.40,294.30,-163.30
268,2021-10-01,14424.30,14603.90,14397.55,14587.65,206.35,-163.35
269,2021-09-30,14427.70,14604.70,14398.00,14466.50,206.70,-38.80
270,2021-09-29,14203.50,14515.45,14172.50,14404.95,342.95,-201.45
271,2021-09-28,14196.95,14273.75,13956.15,14171.60,317.60,25.35
272,2021-09-27,14297.55,14316.15,14106.70,14156.70,209.45,140.85
273,2021-09-24,14402.80,14457.70,14247.50,14289.15,210.20,113.65
274,2021-09-23,14393.10,14407.05,14311.30,14380.50,95.75,12.60
275,2021-09-22,14267.35,14386.40,14242.70,14334.25,143.70,-66.90
276,2021-09-21,14093.85,14300.00,14033.40,14278.95,266.60,-185.10
277,2021-09-20,14281.00,14372.65,14040.50,14097.25,332.15,183.75
278,2021-09-17,14550.75,14557.95,14288.05,14355.15,269.90,195.60
279,2021-09-16,14494.05,14538.80,14456.20,14491.35,82.60,2.70
280,2021-09-15,14457.55,14505.60,14410.35,14487.90,95.25,-30.35
281,2021-09-14,14440.70,14505.15,14373.35,14410.95,131.80,29.75
282,2021-09-13,14339.30,14389.70,14258.05,14377.05,131.65,-37.75
283,2021-09-09,14300.30,14339.65,14247.80,14329.85,91.85,-29.55
284,2021-09-08,14396.80,14410.90,14248.00,14349.45,162.90,47.35
285,2021-09-07,14488.05,14503.30,14341.50,14387.35,161.80,100.70
286,2021-09-06,14540.95,14562.25,14449.25,14481.55,113.00,59.40
287,2021-09-03,14506.05,14553.40,14399.25,14485.65,154.15,20.40
288,2021-09-02,14373.55,14500.40,14364.00,14458.50,136.40,-84.95
289,2021-09-01,14375.90,14452.95,14277.75,14319.85,175.20,56.05
290,2021-08-31,14251.35,14370.25,14185.95,14344.75,184.30,-93.40
291,2021-08-30,13975.10,14246.45,13960.80,14222.50,285.65,-247.40
292,2021-08-27,13778.90,13965.80,13738.45,13948.70,227.35,-169.80
293,2021-08-26,13821.95,13874.20,13729.10,13758.60,145.10,63.35
294,2021-08-25,13874.40,13902.85,13767.90,13830.50,134.95,43.90
295,2021-08-24,13758.30,13902.35,13578.90,13876.05,323.45,-117.75
296,2021-08-23,13856.80,13911.20,13625.40,13700.60,285.80,156.20
297,2021-08-20,13983.95,14017.80,13601.30,13711.15,416.50,272.80
298,2021-08-18,14070.60,14184.15,14024.70,14071.35,159.45,-0.75
299,2021-08-17,13986.75,14118.80,13969.75,14041.25,149.05,-54.50
300,2021-08-16,14036.40,14074.50,13900.70,13965.40,173.80,71.00
301,2021-08-13,14083.60,14190.45,13930.30,14049.05,260.15,34.55
302,2021-08-12,14291.50,14291.50,14120.05,14133.05,171.45,158.45
303,2021-08-11,14477.75,14480.75,14145.45,14291.15,335.30,186.60
304,2021-08-10,14582.25,14622.15,14375.00,14502.90,247.15,79.35
305,2021-08-09,14589.75,14595.35,14409.35,14533.45,186.00,56.30
306,2021-08-06,14599.30,14612.55,14490.25,14517.50,122.30,81.80
307,2021-08-05,14640.30,14689.55,14540.50,14579.85,149.05,60.45
308,2021-08-04,14654.65,14743.30,14562.35,14594.35,180.95,60.30
309,2021-08-03,14498.70,14690.40,14457.95,14647.85,232.45,-149.15
310,2021-08-02,14516.00,14588.65,14381.65,14474.95,207.00,41.05
311,2021-07-30,13962.35,14479.10,13903.80,14425.30,575.30,-462.95
312,2021-07-29,14032.15,14072.60,13834.85,13920.35,237.75,111.80
313,2021-07-28,14075.00,14092.00,13794.90,13964.75,297.10,110.25
314,2021-07-27,14702.95,14713.15,13866.80,14018.65,846.35,684.30
315,2021-07-26,14604.65,14711.20,14591.85,14652.55,119.35,-47.90
316,2021-07-23,14557.15,14630.05,14500.05,14597.85,130.00,-40.70
317,2021-07-22,14549.50,14590.55,14457.65,14575.40,132.90,-25.90
318,2021-07-20,14680.60,14689.40,14453.95,14479.20,235.45,201.40
319,2021-07-19,14556.75,14707.00,14549.85,14669.90,157.15,-113.15
320,2021-07-16,14486.10,14715.15,14478.15,14635.05,237.00,-148.95
321,2021-07-15,14530.60,14564.20,14444.30,14467.45,119.90,63.15
322,2021-07-14,14457.00,14547.55,14424.05,14507.00,123.50,-50.00
323,2021-07-13,14405.55,14519.95,14372.70,14460.05,147.25,-54.50
324,2021-07-12,14409.15,14447.85,14322.80,14372.20,125.05,36.95
325,2021-07-09,14260.45,14390.50,14243.85,14360.20,146.65,-99.75
326,2021-07-08,14424.15,14484.30,14240.30,14269.30,244.00,154.85
327,2021-07-07,14354.00,14471.40,14320.20,14453.20,151.20,-99.20
328,2021-07-06,14519.35,14539.65,14377.05,14406.95,162.60,112.40
329,2021-07-05,14575.35,14597.90,14500.60,14528.50,97.30,46.85
330,2021-07-02,14489.95,14575.30,14461.05,14529.65,114.25,-39.70
331,2021-07-01,14327.40,14465.35,14294.40,14442.45,170.95,-115.05
332,2021-06-30,14379.20,14422.45,14288.15,14308.90,134.30,70.30
333,2021-06-29,14241.80,14353.25,14205.60,14330.20,147.65,-88.40
334,2021-06-28,14120.35,14308.90,14095.00,14247.60,213.90,-127.25
335,2021-06-25,13982.90,14133.45,13968.95,14069.60,164.50,-86.70
336,2021-06-24,14019.25,14058.65,13900.05,13967.95,158.60,51.30
337,2021-06-23,14115.45,14179.60,14003.80,14018.05,175.80,97.40
338,2021-06-22,14126.10,14146.10,14028.15,14095.00,117.95,31.10
339,2021-06-21,13949.55,14103.20,13899.65,14082.95,203.55,-133.40
340,2021-06-18,14110.50,14194.90,13855.10,14030.60,339.80,79.90
341,2021-06-17,14193.45,14245.85,13987.05,14081.60,258.80,111.85
342,2021-06-16,14336.10,14354.00,14183.10,14215.70,170.90,120.40
343,2021-06-15,14464.50,14505.00,14309.55,14322.65,195.45,141.85
344,2021-06-14,14447.75,14525.35,14217.45,14449.60,307.90,-1.85
345,2021-06-11,14331.95,14530.95,14300.10,14464.05,230.85,-132.10
346,2021-06-10,14140.90,14369.35,14138.50,14313.90,230.85,-173.00
347,2021-06-09,14220.35,14362.45,14046.75,14118.90,315.70,101.45
