,Date,Open,High,Low,Close,(High-Low),(Open-Close)
123,2022-05-05,28538.35,28655.90,28114.25,28284.90,541.65,253.45
124,2022-05-04,28634.35,28743.30,28016.00,28201.40,727.30,432.95
125,2022-05-02,28342.70,28612.25,28271.75,28573.65,340.50,-230.95
126,2022-04-29,29302.70,29304.05,28424.40,28594.15,879.65,708.55
127,2022-04-28,28939.30,29168.30,28651.85,29046.10,516.45,-106.80
128,2022-04-27,28840.70,28987.05,28471.15,28527.60,515.90,313.10
129,2022-04-26,28468.45,29015.15,28353.80,28902.60,661.35,-434.15
130,2022-04-25,28562.30,28651.75,28015.60,28155.10,636.15,407.20
131,2022-04-22,28891.35,29172.30,28814.15,28877.65,358.15,13.70
132,2022-04-21,28965.10,29086.20,28774.00,29026.00,312.20,-60.90
133,2022-04-20,28737.20,28957.50,28537.90,28690.70,419.60,46.50
134,2022-04-19,28710.75,29080.75,28046.40,28440.85,"1,034.35",269.90
135,2022-04-18,28109.30,28524.85,27850.25,28423.20,674.60,-313.90
136,2022-04-13,28388.05,28543.35,28056.25,28193.70,487.10,194.35
137,2022-04-12,28384.65,28706.35,27910.60,28059.05,795.75,325.60
138,2022-04-11,27672.80,28440.20,27624.50,28235.25,815.70,-562.45
139,2022-04-08,27229.15,27594.75,27150.70,27512.70,444.05,-283.55
140,2022-04-07,27403.85,27813.35,26926.70,27005.15,886.65,398.70
141,2022-04-06,27035.65,27571.65,27023.80,27472.05,547.85,-436.40
142,2022-04-05,26966.60,27237.30,26871.30,27150.65,366.00,-184.05
143,2022-04-04,26493.10,26895.90,26432.05,26841.00,463.85,-347.90
144,2022-04-01,25921.10,26540.85,25893.90,26454.50,646.95,-533.40
145,2022-03-31,25822.05,25955.00,25718.35,25822.00,236.65,0.05
146,2022-03-30,25959.55,26236.35,25689.05,25856.20,547.30,103.35
147,2022-03-29,26128.90,26128.90,25852.75,25889.95,276.15,238.95
148,2022-03-28,25965.40,26023.20,25716.15,25989.30,307.05,-23.90
149,2022-03-25,25849.80,25917.90,25710.25,25833.55,207.65,16.25
150,2022-03-24,25485.70,25815.90,25478.95,25789.10,336.95,-303.40
151,2022-03-23,25431.85,25689.95,25431.85,25569.75,258.10,-137.90
152,2022-03-22,25014.65,25408.00,24991.15,25359.50,416.85,-344.85
153,2022-03-21,25274.35,25355.75,24893.50,24936.65,462.25,337.70
154,2022-03-17,25020.20,25383.80,24884.90,25304.80,498.90,-284.60
155,2022-03-16,24598.55,24810.90,24520.55,24783.80,290.35,-185.25
156,2022-03-15,24886.60,24918.90,24205.00,24347.95,713.90,538.65
157,2022-03-14,24960.45,25040.80,24716.30,24889.80,324.50,70.65
158,2022-03-11,24760.80,25043.05,24722.70,25004.30,320.35,-243.50
159,2022-03-10,24755.20,24913.30,24578.80,24816.65,334.50,-61.45
160,2022-03-09,24513.70,24636.60,24339.90,24459.10,296.70,54.60
161,2022-03-08,24190.85,24580.15,23804.30,24229.00,775.85,-38.15
162,2022-03-07,24156.40,24336.60,23961.00,24207.60,375.60,-51.20
163,2022-03-04,24871.50,24977.00,24443.75,24491.35,533.25,380.15
164,2022-03-03,24826.15,25027.60,24788.05,24968.25,239.55,-142.10
165,2022-03-02,24061.05,24636.45,23975.70,24520.65,660.75,-459.60
166,2022-02-28,23403.80,24255.55,23342.80,24212.10,912.75,-808.30
167,2022-02-25,23254.65,23644.95,23245.25,23590.60,399.70,-335.95
168,2022-02-24,23513.75,23679.10,22831.10,22928.10,848.00,585.65
169,2022-02-23,24306.60,24477.30,24116.25,24164.75,361.05,141.85
170,2022-02-22,23696.25,24242.70,23644.30,24166.35,598.40,-470.10
171,2022-02-21,24470.75,24489.80,24119.20,24174.40,370.60,296.35
172,2022-02-18,24755.50,24937.10,24495.40,24540.70,441.70,214.80
173,2022-02-17,24568.15,24870.85,24501.50,24757.95,369.35,-189.80
174,2022-02-16,24417.10,24621.70,24311.45,24392.95,310.25,24.15
175,2022-02-15,23980.70,24401.55,23608.25,24363.80,793.30,-383.10
176,2022-02-14,24211.20,24333.60,23819.65,23899.80,513.95,311.40
177,2022-02-11,24591.20,24703.40,24455.30,24549.70,248.10,41.50
178,2022-02-10,24599.15,24738.35,24528.25,24685.55,210.10,-86.40
179,2022-02-09,24579.90,24638.20,24451.55,24514.35,186.65,65.55
180,2022-02-08,24920.25,24982.35,24340.25,24500.90,642.10,419.35
181,2022-02-07,24817.35,25003.60,24665.15,24825.00,338.45,-7.65
182,2022-02-04,24774.90,24868.40,24621.45,24699.15,246.95,75.75
183,2022-02-03,24944.95,25032.60,24678.90,24728.95,353.70,216.00
184,2022-02-02,25069.10,25138.75,24918.75,24998.95,220.00,70.15
185,2022-02-01,25180.35,25261.10,24622.50,24888.45,638.60,291.90
186,2022-01-31,24993.25,25210.65,24901.15,24983.95,309.50,9.30
187,2022-01-28,24873.10,25079.10,24618.90,24677.00,460.20,196.10
188,2022-01-27,24512.20,24744.80,24367.65,24557.00,377.15,-44.80
